titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media
魔法少女マジカルデストロイヤーズ,Mahou Shoujo Magical Destroyers,Magical Destroyers,2023-04-08,2023,SPRING 2023,1,12,Bibury Animation Studios,Action | Comedy | Ecchi | Mahou Shoujo,Unknown,TV,FINISHED,35449,60,60
勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,"Yuusha Party wo Tsuihou Sareta Shiro Madoushi, S Rank Boukensha ni Hirowareru: Kono Shiro Madoushi ga Kikakugaisugiru",Scooped Up by an S-Rank Adventurer!,2025-07-06,2025,SUMMER 2025,1,12,Felix Film,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,35444,61,61
アポカリプスホテル,Apocalypse Hotel,Apocalypse Hotel,2025-04-09,2025,SPRING 2025,1,12,CygamesPictures,Comedy | Sci-Fi | Slice of Life,Unknown,TV,FINISHED,35427,80,80
さようなら竜生、こんにちは人生,Sayonara Ryuusei Konnichiwa Jinsei,"Good Bye, Dragon Life",2024-10-04,2024,FALL 2024,1,12,SynergySP | Vega Entertainment,Action | Adventure | Fantasy,Unknown,TV,FINISHED,35083,62,62
青の祓魔師 雪ノ果篇,Ao no Exorcist: Yuki no Hate-hen,Blue Exorcist -Beyond the Snow Saga-,2024-10-06,2024,FALL 2024,2,12,Studio VOLN,Action | Fantasy | Supernatural,Shounen,TV,FINISHED,34940,74,74
春夏秋冬代行者 春の舞,Shunkashuutou Daikousha: Haru no Mai,Agents of the Four Seasons: Dance of Spring,2026-03-29,2026,SPRING 2026,1,14,WIT STUDIO,Drama | Fantasy | Romance,Shoujo,TV,RELEASING,34909,75,76
先輩はおとこのこ,Senpai wa Otokonoko,Senpai is an Otokonoko,2024-07-05,2024,SUMMER 2024,1,12,project No.9,Comedy | Drama | Romance,Josei,TV,FINISHED,34769,72,73
NieR:Automata Ver1.1a 第2期,NieR:Automata Ver1.1a 2nd Season,NieR:Automata Ver1.1a Cour 2,2024-07-05,2024,SUMMER 2024,1,12,A-1 Pictures,Action | Drama | Fantasy | Mystery | Psychological | Sci-Fi,Unknown,TV,FINISHED,34755,80,80
とあるおっさんのVRMMO活動記,Toaru Ossan no VRMMO Katsudouki,A Playthrough of a Certain Dude's VRMMO Life,2023-10-03,2023,FALL 2023,1,12,Maho Film,Action | Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,34613,62,62
ブラッククローバー 第2期,Black Clover 2nd Season,Black Clover Season 2,2026,2026,,1,,Studio Pierrot,Action | Adventure | Comedy | Fantasy,Shounen,TV,NOT_YET_RELEASED,34597,,
マジック・メイカー　～異世界魔法の作り方～,Magic Maker: Isekai Mahou no Tsukurikata,Magic Maker: How to Make Magic in Another World,2025-01-09,2025,WINTER 2025,1,12,Studio DEEN,Action | Adventure | Fantasy | Slice of Life,Unknown,TV,FINISHED,34552,66,67
響け！ユーフォニアム３,Hibike! Euphonium 3,Sound! Euphonium 3,2024-04-07,2024,SPRING 2024,1,13,Kyoto Animation,Drama | Music | Slice of Life,Unknown,TV,FINISHED,34467,87,88
魔法使いの嫁 SEASON2 第2クール,Mahoutsukai no Yome SEASON 2 Part 2,The Ancient Magus' Bride Season 2 Part 2,2023-10-05,2023,FALL 2023,1,12,Studio Kafka,Drama | Fantasy | Romance | Slice of Life | Supernatural,Shounen,TV,FINISHED,34465,79,79
Summer Pockets,Summer Pockets,Summer Pockets,2025-04-07,2025,SPRING 2025,1,26,feel.,Drama | Romance | Slice of Life | Supernatural,Unknown,TV,FINISHED,34395,71,72
SHY,SHY,SHY,2023-10-03,2023,FALL 2023,2,12,8-bit,Action | Drama | Psychological,Shounen,TV,FINISHED,34224,66,66
冒険者になりたいと都に出て行った娘がＳランクになってた,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S Rank ni Natteta,My Daughter Left the Nest and Returned an S-Rank Adventurer,2023-09-28,2023,FALL 2023,1,13,TYPHOON GRAPHICS,Adventure | Fantasy,Unknown,TV,FINISHED,34200,66,66
聖女の魔力は万能です Season2,Seijo no Maryoku wa Bannou desu Season 2,The Saint's Magic Power is Omnipotent II,2023-10-03,2023,FALL 2023,1,12,diomedéa,Fantasy | Romance | Slice of Life,Shoujo,TV,FINISHED,34094,74,74
ぬきたし THE ANIMATION,Nukitashi THE ANIMATION,Nukitashi THE ANIMATION,2025-07-19,2025,SUMMER 2025,1,11,Passione,Action | Comedy | Drama | Ecchi | Romance,Unknown,TV,FINISHED,34038,68,68
姫様“拷問”の時間です,"Hime-sama, ""Goumon"" no Jikan desu","'Tis Time for ""Torture,"" Princess",2024-01-09,2024,WINTER 2024,2,12,PINE JAM,Comedy | Fantasy | Slice of Life,Shounen,TV,FINISHED,33969,71,71
味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す,"Mikata ga Yowa Sugite Hojo Mahou ni Toushite Ita Kyuutei Mahoushi, Tsuihou Sarete Saikyou wo Mezasu",The Banished Court Magician Aims to Become the Strongest,2025-10-04,2025,FALL 2025,1,12,Gekkou,Action | Adventure | Fantasy,Unknown,TV,FINISHED,33943,63,63
彼女、お借りします 第4期,"Kanojo, Okarishimasu 4th Season",Rent-a-Girlfriend Season 4,2025-07-01,2025,SUMMER 2025,2,12,TMS Entertainment,Comedy | Romance,Shounen,ONA,FINISHED,33941,60,61
最強タンクの迷宮攻略　～体力9999のレアスキル持ちタンク、勇者パーティーを追放される～,"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou Sareru",The Strongest Tank's Labyrinth Raids -A Tank with a Rare 9999 Resistance Skill Got Kicked from the Hero's Party-,2024-01-07,2024,WINTER 2024,1,12,STUDIO POLON,Action | Adventure | Fantasy,Unknown,TV,FINISHED,33887,59,59
うるわしの宵の月,Uruwashi no Yoi no Tsuki,In the Clear Moonlit Dusk,2026-01-11,2026,WINTER 2026,1,12,East Fish Studio | Atelier Peuplier,Romance | Slice of Life,Shoujo,TV,FINISHED,33759,74,74
ティアムーン帝国物語～断頭台から始まる、姫の転生逆転ストーリー～,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",Tearmoon Empire,2023-10-08,2023,FALL 2023,1,12,SILVER LINK.,Drama | Fantasy | Romance,Shoujo,TV,FINISHED,33526,71,71
コードギアス 奪還のロゼ,Code Geass: Dakkan no Rozé,Code Geass: Rozé of the Recapture,2024-06-21,2024,SUMMER 2024,1,12,Sunrise,Action | Drama | Mecha | Sci-Fi | Thriller,Unknown,ONA,FINISHED,33294,64,64
REVENGER,REVENGER,Revenger,2023-01-05,2023,WINTER 2023,1,12,Ajiado,Action,Unknown,TV,FINISHED,33230,65,65
強くてニューサーガ,Tsuyokute New Saga,New Saga,2025-07-03,2025,SUMMER 2025,1,12,Sotsu | Studio Massket | Studio Clutch,Adventure | Fantasy,Unknown,TV,FINISHED,33100,65,65
ミギとダリ,Migi to Dali,Migi&Dali,2023-10-02,2023,FALL 2023,1,13,GEEKTOYS | CompTown,Drama | Mystery | Slice of Life,Seinen,TV,FINISHED,32958,75,75
30歳まで童貞だと魔法使いになれるらしい,30-sai made Doutei da to Mahou Tsukai ni Nareru Rashii,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,2024-01-11,2024,WINTER 2024,1,12,Satelight,Comedy | Romance | Slice of Life | Supernatural,Shoujo,TV,FINISHED,32751,76,76
お気楽領主の楽しい領地防衛,Okiraku Ryoushu no Tanoshii Ryouchi Bouei,Easygoing Territory Defense by the Optimistic Lord,2026-01-07,2026,WINTER 2026,1,12,NAZ,Adventure | Fantasy,Unknown,ONA,FINISHED,32725,68,68
MFゴースト,MF Ghost,MF GHOST,2023-10-02,2023,FALL 2023,2,12,Felix Film,Sports,Seinen,TV,FINISHED,32687,74,74
ワンルーム、日当たり普通、天使つき。,"One Room, Hi Atari Futsuu, Tenshi Tsuki.","Studio Apartment, Good Lighting, Angel Included",2024-03-30,2024,SPRING 2024,1,12,Okuruto Noboru,Comedy | Romance | Slice of Life | Supernatural,Shounen,TV,FINISHED,32489,68,69
機動戦士Gundam GQuuuuuuX,Kidou Senshi Gundam GQuuuuuuX,Mobile Suit Gundam GQuuuuuuX,2025-04-09,2025,SPRING 2025,1,12,Studio Khara | Sunrise,Action | Drama | Mecha | Sci-Fi,Unknown,TV,FINISHED,32485,68,68
魔術師クノンは見えている,Majutsushi Kunon wa Mieteiru,Kunon the Sorcerer Can See,2026-01-04,2026,WINTER 2026,1,13,Platinum Vision,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,32481,65,65
LIAR GAME,LIAR GAME,LIAR GAME,2026-04-07,2026,SPRING 2026,1,,MADHOUSE,Drama | Psychological,Seinen,TV,RELEASING,32199,60,60
完璧すぎて可愛げがないと婚約破棄された聖女は隣国に売られる,Kanpeki Sugite Kawai-ge ga Nai to Konyaku Haki Sareta Seijo wa Ringoku ni Urareru,The Too-Perfect Saint: Tossed Aside by My Fiancé and Sold to Another Kingdom,2025-04-03,2025,SPRING 2025,1,12,TROYCA,Fantasy | Romance,Shoujo,ONA,FINISHED,32133,72,72
贄姫と獣の王,Niehime to Kemono no Ou,Sacrificial Princess and the King of Beasts,2023-04-20,2023,SPRING 2023,1,24,J.C.STAFF,Drama | Fantasy | Romance,Shoujo,TV,FINISHED,31867,77,77
Ｓランクモンスターの《ベヒーモス》だけど、猫と間違われてエルフ娘の騎士（ペット）として暮らしてます,"S-Rank Monster no ""Behemoth"" Dakedo, Neko to Machigawarete Elf Musume no Pet to Shite Kurashitemasu",Beheneko: The Elf-Girl's Cat is Secretly an S-Ranked Monster!,2024-12-28,2024,WINTER 2025,1,12,Zero-G | Saber Works,Action | Adventure | Comedy | Ecchi | Fantasy,Seinen,TV,FINISHED,31830,55,56
あかね噺,Akane-banashi,Akane-banashi,2026-04-04,2026,SPRING 2026,1,12,ZEXCS,Drama,Shounen,TV,RELEASING,31796,76,77
NEEDY GIRL OVERDOSE,NEEDY GIRL OVERDOSE,NEEDY GIRL OVERDOSE,2026-04-05,2026,SPRING 2026,1,13,Yostar Pictures,Adventure | Drama | Psychological | Slice of Life,Unknown,TV,RELEASING,31747,68,68
あやかしトライアングル,Ayakashi Triangle,Ayakashi Triangle,2023-01-10,2023,WINTER 2023,1,12,CONNECT,Action | Comedy | Ecchi | Romance | Supernatural,Shounen,TV,FINISHED,31686,61,62
阿波連さんははかれない season2,Aharen-san wa Hakarenai Season 2,Aharen-san wa Hakarenai Season 2,2025-04-07,2025,SPRING 2025,1,12,Felix Film,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,31590,74,75
VTuberなんだが配信切り忘れたら伝説になってた,VTuber nanda ga Haishin Kiri Wasuretara Densetsu ni Natteta,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,2024-07-07,2024,SUMMER 2024,1,12,TNK,Comedy | Slice of Life,Unknown,TV,FINISHED,31422,68,68
素材採取家の異世界旅行記,Sozai Saishuka no Isekai Ryokouki,A Gatherer's Adventure in Isekai,2025-09-30,2025,FALL 2025,1,12,Tatsunoko Production | SynergySP,Adventure | Comedy | Fantasy | Slice of Life,Unknown,ONA,FINISHED,31402,60,60
戦隊大失格 2nd season,Sentai Daishikkaku 2nd Season,Go! Go! Loser Ranger! Season 2,2025-04-13,2025,SPRING 2025,1,12,Yostar Pictures,Action | Comedy | Drama | Sci-Fi,Shounen,TV,FINISHED,31182,69,69
超能立方,Chao Neng Lifang,Super Cube,2025-03-21,2025,,1,12,Big Firebird Cultural Media,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,31000,70,71
Lv1魔王とワンルーム勇者,Lv1 Maou to One Room Yuusha,Level 1 Demon Lord and One Room Hero,2023-07-03,2023,SUMMER 2023,1,12,SILVER LINK. | BLADE,Action | Adventure | Comedy | Ecchi | Fantasy,Seinen,TV,FINISHED,30938,69,69
ATRI -My Dear Moments-,ATRI: My Dear Moments,ATRI -My Dear Moments-,2024-07-14,2024,SUMMER 2024,1,13,TROYCA,Drama | Romance | Sci-Fi,Unknown,TV,FINISHED,30908,70,70
ライザのアトリエ ～常闇の女王と秘密の隠れ家～,Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,Atelier Ryza: Ever Darkness & the Secret Hideout The Animation,2023-07-02,2023,SUMMER 2023,1,12,LIDENFILMS,Action | Adventure | Drama | Fantasy,Unknown,TV,FINISHED,30812,68,69
七つの大罪 黙示録の四騎士,Nanatsu no Taizai: Mokushiroku no Yonkishi,The Seven Deadly Sins: Four Knights of the Apocalypse,2023-10-08,2023,FALL 2023,2,24,Telecom Animation Film,Action | Adventure | Fantasy,Shounen,TV,FINISHED,30807,72,72
渡くんの××が崩壊寸前,Watari-kun no xx ga Houkai Sunzen,Watari-kun's ****** Is about to Collapse,2025-07-05,2025,SUMMER 2025,1,26,Staple Entertainment,Comedy | Drama | Romance | Slice of Life,Seinen,TV,FINISHED,30733,65,65
黒執事 寄宿学校編,Kuroshitsuji: Kishuku Gakkou-hen,Black Butler: Public School Arc,2024-04-13,2024,SPRING 2024,2,11,CloverWorks,Action | Comedy | Fantasy | Mystery | Supernatural,Shounen,TV,FINISHED,30691,78,78
魔入りました！入間くん 第4シリーズ,Mairimashita! Iruma-kun 4,Welcome to Demon School! Iruma-kun Season 4,2026-04-04,2026,SPRING 2026,1,24,Bandai Namco Pictures,Comedy | Fantasy | Supernatural,Shounen,TV,RELEASING,30686,80,81
死神坊ちゃんと黒メイド 第2期,Shinigami Bocchan to Kuro Maid 2nd Season,The Duke of Death and His Maid Season 2,2023-07-09,2023,SUMMER 2023,2,12,J.C.STAFF,Comedy | Drama | Romance | Supernatural,Shounen,TV,FINISHED,30667,76,76
モブから始まる探索英雄譚,Mob kara Hajimaru Tansaku Eiyuutan,A Nobody's Way Up to an Exploration Hero,2024-07-06,2024,SUMMER 2024,1,12,Gekkou,Action | Fantasy,Unknown,TV,FINISHED,30508,56,56
異世界でもふもふなでなでするためにがんばってます。,Isekai de Mofumofu Nadenade Suru Tame ni Ganbattemasu.,Fluffy Paradise,2024-01-01,2024,WINTER 2024,1,12,EMT Squared,Adventure | Fantasy | Slice of Life,Shoujo,ONA,FINISHED,30354,66,67
TRIGUN STARGAZE,TRIGUN STARGAZE,TRIGUN STARGAZE,2026-01-10,2026,WINTER 2026,1,12,Orange,Action | Comedy | Drama | Sci-Fi,Shounen,TV,FINISHED,30309,67,68
嘆きの亡霊は引退したい 2,Nageki no Bourei wa Intai Shitai 2,Let This Grieving Soul Retire Cour 2,2025-10-04,2025,FALL 2025,1,11,Zero-G,Action | Comedy | Fantasy,Unknown,ONA,FINISHED,30124,74,74
Übel Blatt～ユーベルブラット～,Übel Blatt,Übel Blatt,2025-01-11,2025,WINTER 2025,1,12,Satelight | Staple Entertainment,Action | Adventure | Drama | Fantasy,Seinen,TV,FINISHED,30114,60,60
本好きの下剋上 領主の養女,Honzuki no Gekokujou: Ryoushu no Youjo,Ascendance of a Bookworm: Adopted Daughter of an Archduke,2026-04-04,2026,SPRING 2026,1,,WIT STUDIO,Drama | Fantasy | Slice of Life,Josei,TV,RELEASING,29889,76,78
転生したら剣でした 第2期,Tensei Shitara Ken Deshita 2nd Season,,2026-10,2026,FALL 2026,1,,C2C,Action | Adventure | Fantasy,Unknown,TV,NOT_YET_RELEASED,29729,,
戦国妖狐,Sengoku Youko,Sengoku Youko,2024-01-11,2024,WINTER 2024,2,13,WHITE FOX,Action | Adventure | Fantasy,Shounen,TV,FINISHED,29669,69,69
不器用な先輩。,Bukiyou na Senpai.,My Awkward Senpai,2025-10-02,2025,FALL 2025,1,12,Studio elle,Comedy | Romance,Seinen,TV,FINISHED,29620,69,69
魔導具師ダリヤはうつむかない,Madougushi Dahlia wa Utsumukanai,Dahlia in Bloom: Crafting a Fresh Start with Magical Tools,2024-07-06,2024,SUMMER 2024,1,12,Imagica Infos | TYPHOON GRAPHICS,Comedy | Fantasy | Romance,Unknown,TV,FINISHED,29572,66,67
プリズム輪舞曲,Prism Rondo,Love Through A Prism,2026-01-15,2026,WINTER 2026,1,20,WIT STUDIO,Drama | Romance,Shounen,ONA,FINISHED,29521,84,84
くまクマ熊ベアーぱーんち！,Kuma Kuma Kuma Bear Punch!,Kuma Kuma Kuma Bear - Punch!,2023-04-03,2023,SPRING 2023,1,12,EMT Squared,Adventure | Comedy | Fantasy | Slice of Life,Unknown,TV,FINISHED,29488,72,72
ブルーアーカイブ The Animation,Blue Archive The Animation,,2024-04-07,2024,SPRING 2024,1,12,Yostar Pictures | studio CANDY BOX,Action | Comedy | Fantasy | Slice of Life,Unknown,TV,FINISHED,29259,66,66
らんま1/2 (2024) 第2期,Ranma 1/2 (2024) 2nd Season,Ranma1/2 (2024) Season 2,2025-10-05,2025,FALL 2025,2,12,MAPPA,Action | Comedy | Romance,Shounen,TV,FINISHED,29180,77,77
ネガポジアングラー,NegaPosi Angler,Negative Positive Angler,2024-10-03,2024,FALL 2024,1,12,NUT,Drama | Slice of Life | Sports,Unknown,TV,FINISHED,28953,73,73
时光代理人英都篇,Shiguang Dailiren: Yingdu Pian,Link Click: Bridon Arc,2024-12-27,2024,,2,6,CMC Media,Drama | Mystery | Supernatural | Thriller,Unknown,ONA,FINISHED,28934,83,83
沖縄で好きになった子が方言すぎてツラすぎる,Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsura Sugiru,"OKITSURA: Fell in Love with an Okinawan Girl, but I Just Wish I Know What She's Saying",2025-01-05,2025,WINTER 2025,1,12,Millepensee,Comedy | Romance,Seinen,TV,FINISHED,28596,69,69
トニカクカワイイ 女子高編,Tonikaku Kawaii: Joshikou-hen,TONIKAWA: Over The Moon For You ~High School Days~,2023-07-12,2023,SUMMER 2023,1,4,Seven Arcs,Comedy | Romance | Slice of Life,Shounen,ONA,FINISHED,28554,78,78
戦隊レッド異世界で冒険者になる,Sentai Red Isekai de Boukensha ni Naru,The Red Ranger Becomes an Adventurer in Another World,2025-01-12,2025,WINTER 2025,1,12,Satelight,Action | Adventure | Comedy | Fantasy,Shounen,TV,FINISHED,28483,66,66
カッコウの許嫁 Season2,Kakkou no Iinazuke Season 2,A Couple of Cuckoos Season 2,2025-07-08,2025,SUMMER 2025,1,12,Okuruto Noboru,Comedy | Romance,Shounen,TV,FINISHED,28475,67,67
EDENS ZERO 第2期,EDENS ZERO 2nd Season,EDENS ZERO Season 2,2023-04-02,2023,SPRING 2023,1,25,J.C.STAFF,Action | Adventure | Comedy | Fantasy | Sci-Fi,Shounen,TV,FINISHED,28408,73,73
キルアオ,Kill Ao,KILL BLUE,2026-04-11,2026,SPRING 2026,1,12,CUE,Action | Comedy,Shounen,TV,RELEASING,28293,74,74
お嬢と番犬くん,Ojou to Banken-kun,A Girl & Her Guard Dog,2023-09-29,2023,FALL 2023,1,13,project No.9,Drama | Romance,Shoujo,TV,FINISHED,28108,52,53
忍者と殺し屋のふたりぐらし,Ninja to Koroshiya no Futarigurashi,A Ninja and an Assassin Under One Roof,2025-04-10,2025,SPRING 2025,1,12,Shaft,Comedy,Shounen,TV,FINISHED,27830,75,76
真夜中ぱんチ,Mayonaka Punch,MAYONAKA PUNCH,2024-07-08,2024,SUMMER 2024,1,12,P.A.WORKS,Comedy | Supernatural,Unknown,TV,FINISHED,27670,73,73
事情を知らない転校生がグイグイくる。,Jijou wo Shiranai Tenkousei ga Guigui Kuru.,My Clueless First Friend,2023-04-02,2023,SPRING 2023,1,13,Studio Signpost,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,27646,73,73
ウマ娘 プリティーダービー Season 3,Uma Musume: Pretty Derby Season 3,Umamusume: Pretty Derby Season 3,2023-10-05,2023,FALL 2023,1,13,Studio KAI,Drama | Slice of Life | Sports,Unknown,TV,FINISHED,27582,78,78
女神のカフェテラス 第2期,Megami no Café Terrace 2nd Season,The Café Terrace and Its Goddesses Season 2,2024-07-05,2024,SUMMER 2024,1,12,Tezuka Productions,Comedy | Drama | Ecchi | Romance,Shounen,TV,FINISHED,27555,73,73
最強の職業は勇者でも賢者でもなく鑑定士（仮）らしいですよ？,Saikyou no Shokugyou wa Yuusha demo Kenja demo Naku Kanteishi (Kari) Rashii desu yo?,"The strongest job is apparently not a hero or a sage, but an appraiser (provisional)!",2026-04-01,2026,SPRING 2026,1,12,Studio Flad,Action | Adventure | Comedy | Fantasy,Unknown,ONA,RELEASING,27427,58,58
恋は双子で割り切れない,Koi wa Futago de Warikirenai,Love Is Indivisible by Twins,2024-07-10,2024,SUMMER 2024,1,12,ROLL2,Romance,Unknown,TV,FINISHED,27386,61,61
ばいばい、アース,"Bye Bye, Earth","Bye Bye, Earth",2024-07-12,2024,SUMMER 2024,2,10,LIDENFILMS,Action | Adventure | Fantasy,Unknown,TV,FINISHED,27367,59,59
オーバーテイク！,Overtake!,OVERTAKE!,2023-10-01,2023,FALL 2023,1,12,TROYCA,Drama | Sports,Unknown,TV,FINISHED,27326,74,74
矢野くんの普通の日々,Yano-kun no Futsuu no Hibi,Yano-kun's Ordinary Days,2025-10-01,2025,FALL 2025,1,12,Ajiado,Comedy | Romance | Slice of Life,Seinen,TV,FINISHED,27076,72,72
リィンカーネーションの花弁,Reincarnation no Kaben,Petals of Reincarnation,2026-04-03,2026,SPRING 2026,1,13,BENTEN Film,Action | Supernatural,Shounen,TV,RELEASING,27021,60,61
リコリス・リコイル Friends are thieves of time.,Lycoris Recoil: Friends are thieves of time.,Lycoris Recoil -Friends are thieves of time.-,2025-04-16,2025,SPRING 2025,1,6,A-1 Pictures,Comedy | Slice of Life,Unknown,ONA,FINISHED,26910,78,78
変人のサラダボウル,Henjin no Salad Bowl,A Salad Bowl of Eccentrics,2024-04-05,2024,SPRING 2024,1,12,SynergySP | Studio Comet,Comedy | Fantasy | Slice of Life,Unknown,TV,FINISHED,26780,71,71
声優ラジオのウラオモテ,Seiyuu Radio no Uraomote,The Many Sides of Voice Actor Radio,2024-04-10,2024,SPRING 2024,1,12,CONNECT,Comedy | Drama | Slice of Life,Unknown,TV,FINISHED,26765,74,75
ちょっとだけ愛が重いダークエルフが異世界から追いかけてきた,Chotto dake Ai ga Omoi Dark Elf ga Isekai kara Oikakete Kita,Yandere Dark Elf: She Chased Me All the Way From Another World!,2025-04-07,2025,SPRING 2025,1,12,Elias,Comedy | Ecchi | Fantasy | Romance,Unknown,TV_SHORT,FINISHED,26657,53,53
伊藤潤二『マニアック』,Itou Junji: Maniac,Junji Ito Maniac: Japanese Tales of the Macabre,2023-01-19,2023,WINTER 2023,1,12,Studio DEEN,Drama | Horror | Mystery | Psychological | Supernatural | Thriller,Josei,ONA,FINISHED,26528,66,66
グッド・ナイト・ワールド,Good Night World,GOOD NIGHT WORLD,2023-10-12,2023,FALL 2023,1,12,NAZ,Action | Drama | Fantasy | Psychological,Unknown,ONA,FINISHED,26303,69,70
江戸前エルフ,Edomae Elf,Otaku Elf,2023-04-08,2023,SPRING 2023,1,12,C2C,Comedy | Slice of Life | Supernatural,Shounen,TV,FINISHED,26221,70,71
追放者食堂へようこそ！,Tsuihousha Shokudou e Youkoso!,Welcome to the Outcast's Restaurant!,2025-07-04,2025,SUMMER 2025,1,12,OLM,Adventure | Comedy | Fantasy | Slice of Life,Unknown,TV,FINISHED,25982,69,69
青の祓魔師 終夜篇,Ao no Exorcist: Yosuga-hen,Blue Exorcist -The Blue Night Saga-,2025-01-05,2025,WINTER 2025,1,12,Studio VOLN,Action | Fantasy | Supernatural,Shounen,TV,FINISHED,25925,80,80
私の百合はお仕事です！,Watashi no Yuri wa Oshigoto desu!,Yuri Is My Job!,2023-04-06,2023,SPRING 2023,1,12,Passione | Studio Lings,Comedy | Drama | Romance,Unknown,TV,FINISHED,25899,64,65
もののがたり,Mononogatari,Malevolent Spirits: Mononogatari,2023-01-10,2023,WINTER 2023,2,12,Bandai Namco Pictures,Action | Supernatural,Seinen,TV,FINISHED,25873,69,69
ある魔女が死ぬまで,Aru Majo ga Shinu Made,Once Upon a Witch's Death,2025-04-01,2025,SPRING 2025,1,12,EMT Squared,Adventure | Drama | Fantasy,Unknown,TV,FINISHED,25850,71,72
父は英雄、母は精霊、娘の私は転生者。,"Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.","Dad is a Hero, Mom is a Spirit, I'm a Reincarnator",2025-10-05,2025,FALL 2025,1,12,J.C.STAFF,Fantasy | Romance,Unknown,TV,FINISHED,25800,66,66
星降る王国のニナ,Hoshi Furu Oukoku no Nina,Nina the Starry Bride,2024-10-10,2024,FALL 2024,1,12,Signal.MD,Drama | Fantasy | Romance,Josei,TV,FINISHED,25654,72,72
ウマ娘 シンデレラグレイ 第2クール,Uma Musume: Cinderella Gray Part 2,Umamusume: Cinderella Gray 2nd Cour,2025-10-05,2025,FALL 2025,1,10,CygamesPictures,Drama | Sports,Seinen,TV,FINISHED,25646,86,86
ニートくノ一となぜか同棲はじめました,NEET Kunoichi to Naze ka Dousei Hajimemashita,I'm Living With a Otaku NEET Kunoichi?!,2025-01-05,2025,WINTER 2025,1,24,Quad,Comedy | Ecchi | Romance,Unknown,ONA,FINISHED,25575,57,57
青のオーケストラ,Ao no Orchestra,Blue Orchestra,2023-04-09,2023,SPRING 2023,2,24,Nippon Animation,Drama | Music,Seinen,TV,FINISHED,25563,70,70
仙王的日常生活 第四季,Xian Wang De Richang Shenghuo 4,The Daily Life of the Immortal King Season 4,2023-12-17,2023,,2,12,Haoliners Animation,Action | Comedy | Fantasy,Unknown,ONA,FINISHED,25559,75,75
放課後少年花子くん,Houkago Shounen Hanako-kun,After-school Hanako-kun,2023-10-11,2023,FALL 2023,2,4,Lerche,Comedy | Slice of Life | Supernatural,Shounen,TV_SHORT,FINISHED,25525,71,71
16bitセンセーション ANOTHER LAYER,16bit Sensation: ANOTHER LAYER,16bit Sensation: Another Layer,2023-10-05,2023,FALL 2023,1,13,Studio Silver,Comedy | Slice of Life,Unknown,TV,FINISHED,25474,68,68
mono,mono,mono,2025-04-13,2025,SPRING 2025,1,12,Soigne,Comedy | Slice of Life,Seinen,TV,FINISHED,25456,76,76
アンダーニンジャ,Under Ninja,UNDER NINJA,2023-10-06,2023,FALL 2023,1,12,Tezuka Productions,Action | Comedy,Seinen,TV,FINISHED,25304,66,66
ポンコツ風紀委員とスカート丈が不適切なJKの話,Ponkotsu Fuuki Iin to Skirt take ga Futekisetsu na JK no Hanashi,The Klutzy Class Monitor and the Girl with the Short Skirt,2026-04-06,2026,SPRING 2026,1,12,Zero-G,Comedy | Romance | Slice of Life,Shounen,TV,RELEASING,25302,74,75
合コンに行ったら女がいなかった話,Goukon ni Ittara Onna ga Inakatta Hanashi,How I Attended an All-Guy's Mixer,2024-09-30,2024,FALL 2024,1,12,Ashi Productions,Comedy | Romance,Shoujo,ONA,FINISHED,25300,72,73
自動販売機に生まれ変わった俺は迷宮を彷徨う 2nd Season,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 2",2025-07-02,2025,SUMMER 2025,2,12,Studio Gokumi | AXsiZ,Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,25298,64,64
星屑テレパス,Hoshikuzu Telepath,Stardust Telepath,2023-10-09,2023,FALL 2023,1,12,Studio Gokumi,Comedy | Drama | Slice of Life,Seinen,TV,FINISHED,25017,70,70
MONSTERS 一百三情飛龍侍極,MONSTERS: Ippaku Sanjou Hiryuu Jigoku,MONSTERS: 103 Mercies Dragon Damnation,2024-01-21,2024,WINTER 2024,2,1,E&H Production,Action | Comedy | Drama,Shounen,ONA,FINISHED,24986,76,76
